race_id,馬,騎手,馬番,走破時間,オッズ,通過順,着順,体重,体重変化,性,齢,斤量,上がり,人気,レース名,日付,開催,クラス,芝・ダート,距離,回り,馬場,天気,場id,場名
202401010101,ポッドベイダー,佐々木大,5,1:08.8,1.2,1-1,1,462,-2,牡,2,55,33.9,1,2歳未勝利,2024年7月20日,1回札幌1日目,2歳未勝利,芝,1200,右,良,晴,0,札幌
202401010101,ニシノクードクール,武藤雅,2,1:09.1,10.2,2-2,2,452,-2,牝,2,55,34.1,4,2歳未勝利,2024年7月20日,1回札幌1日目,2歳未勝利,芝,1200,右,良,晴,0,札幌
202401010101,ロードヴェルト,横山武史,3,1:09.4,7.9,3-3,3,416,6,牡,2,55,34.0,3,2歳未勝利,2024年7月20日,1回札幌1日目,2歳未勝利,芝,1200,右,良,晴,0,札幌
202401010101,ルージュアマリア,永野猛蔵,1,1:10.0,5.9,5-5,4,410,6,牝,2,55,34.4,2,2歳未勝利,2024年7月20日,1回札幌1日目,2歳未勝利,芝,1200,右,良,晴,0,札幌
202401010101,ロードヴァルカン,角田大河,4,1:10.1,21.3,3-3,5,438,-2,牡,2,54,34.7,5,2歳未勝利,2024年7月20日,1回札幌1日目,2歳未勝利,芝,1200,右,良,晴,0,札幌
202401010102,タミゼ,北村友一,2,0:59.5,3.9,3-3,1,474,-2,牝,3,55,35.5,2,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,タマモアルタイル,武豊,6,1:00.0,9.4,5-3,2,494,4,牡,3,57,35.9,6,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,ウィスピースノー,角田大河,8,1:00.1,44.4,8-8,3,434,0,牝,3,54,35.3,9,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,スキーサンダー,小林勝太,7,1:00.1,3.9,2-2,4,474,-2,牝,3,52,36.2,1,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,ゴールドタリスマン,武藤雅,10,1:00.2,90.0,6-6,5,424,8,牝,3,55,35.8,10,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,コパマエチャン,長浜鴻緒,3,1:00.2,16.0,1-1,6,476,0,牝,3,52,36.4,8,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,スリーボビー,永野猛蔵,4,1:00.2,14.1,9-9,7,482,-4,牡,3,57,35.1,7,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,メトゥス,佐々木大,12,1:00.4,6.1,6-6,8,458,6,牡,3,57,36.0,4,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,ブートストラップ,川端海翼,9,1:01.1,167.0,12-12,9,486,-6,セ,3,54,35.6,11,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,クミンフレイバー,鮫島克駿,11,1:01.2,8.2,3-3,10,438,4,牝,3,55,37.2,5,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,ロマンスヒコー,大野拓弥,1,1:01.4,172.5,9-9,11,444,-8,牡,3,57,36.3,12,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010102,タイセイフォルテ,横山武史,5,1:01.8,5.7,11-11,12,486,0,牡,3,57,36.5,3,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1000,右,良,晴,0,札幌
202401010103,メイショウソムリエ,武豊,4,1:46.9,3.6,3-3-3-2,1,522,14,牡,3,57,38.5,2,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,リアルペガサス,菱田裕二,7,1:47.6,10.0,10-10-8-7,2,456,0,牡,3,57,38.6,6,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,クラウンクーロン,丹内祐次,6,1:47.8,6.8,1-1-1-1,3,442,-6,牡,3,57,39.7,4,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,エナアニマル,横山和生,3,1:47.8,9.7,12-12-10-9,4,450,8,牡,3,57,38.5,5,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,ハテナビト,長浜鴻緒,1,1:48.1,31.9,6-6-6-5,5,462,-4,牡,3,54,39.2,7,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,ポップスター,武藤雅,9,1:48.3,214.5,14-14-14-14,6,510,-10,牡,3,57,38.1,12,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,ナムラミック,鮫島克駿,14,1:48.7,106.0,8-9-6-7,7,484,4,牡,3,57,39.9,10,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,ニースライト,柴田善臣,5,1:48.7,80.5,10-10-10-10,8,472,-4,牝,3,55,39.3,9,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,ワカミヤノミコト,小林勝太,2,1:48.8,257.8,12-13-13-11,9,472,0,牡,3,54,39.0,13,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,スターゲット,横山武史,8,1:49.3,2.5,2-2-2-2,10,458,0,牡,3,57,41.1,1,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,プラチナバンド,永野猛蔵,11,1:49.4,59.8,3-3-5-5,11,506,-2,牡,3,57,40.9,8,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,クリノアイリス,古川吉洋,13,1:49.5,333.6,9-8-10-12,12,444,-12,牝,3,55,40.2,14,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,アオレレ,佐々木大,10,1:50.2,140.2,6-6-9-12,13,430,-2,牡,3,57,41.1,11,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010103,ミッキースターダム,浜中俊,12,1:50.4,6.8,3-5-3-4,14,450,-6,牡,3,57,42.0,3,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,ダ,1700,右,良,晴,0,札幌
202401010104,アリーバ,浜中俊,8,1:28.6,5.0,10-10-4,1,424,6,牝,3,55,34.4,4,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,カーモス,長浜鴻緒,4,1:28.6,40.4,2-2-2,2,428,2,牝,3,52,34.9,11,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,ユメカウツツカ,小林勝太,10,1:28.7,28.2,11-13-7,3,392,10,牝,3,52,34.3,9,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,アウストラリス,角田大河,5,1:28.9,22.8,5-4-4,4,422,-4,牝,3,54,35.1,8,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,ツキガキレイデスネ,永野猛蔵,6,1:29.0,18.2,11-11-12,5,456,4,牝,3,55,34.7,7,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,ディアアリーチェ,鮫島克駿,14,1:29.1,4.3,5-7-10,6,450,-4,牝,3,55,35.0,1,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,タイプフェイス,大野拓弥,7,1:29.1,39.3,13-11-12,7,442,8,牝,3,55,34.8,10,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,カウネウス,丹内祐次,9,1:29.1,18.2,14-14-12,8,446,2,牝,3,55,34.5,6,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,セントオブシン,亀田温心,11,1:29.2,53.5,8-7-7,9,426,-4,牝,3,55,35.2,12,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,ラーリア,横山武史,13,1:29.2,4.8,4-4-4,10,396,-6,牝,3,55,35.4,3,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,チャルドーニ,富田暁,2,1:29.3,4.4,2-2-2,11,464,-2,牝,3,55,35.7,2,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
202401010104,ウーロン,横山和生,12,1:29.8,8.5,1-1-1,12,480,10,牝,3,55,36.3,5,3歳未勝利,2024年7月20日,1回札幌1日目,3歳未勝利,芝,1500,右,良,晴,0,札幌
